"","deltas","pvals"
"Woodiness_herbaceous",6.87469190490168,0
"Woodiness_woody",5.60668941346916,0
"Climbing_climbing",1.46861559308561,0.54
"Climbing_non.climbing",1.25318504809903,0.7
"Aquatic_aquatic",185.345416234147,0
"Aquatic_non.aquatic",10.2278908481716,0.01
"SexualSystem_dimorphic",1.691266390907,0
"SexualSystem_monomorphic",1.30682037858994,0.17
"Lifespan_long",1.6805288170952,0.35
"Lifespan_short",1.5947296412514,0.07
"Mating_mixed",0.405583265873388,0.87
"Mating_outcrossing",0.383914484340244,0.47
"Mating_selfing",2.20226878484051,0
"Pollination_abiotic",32.5588763391153,0
"Pollination_autonomous",3.08835870654458,0.27
"Pollination_biotic",23.8570378817718,0
"DispersalMode_abiotic",0.362782010920524,0.13
"DispersalMode_autonomous",0.706316041735864,0.8
"DispersalMode_biotic",0.0298328669767679,0.46
"DispersalDist_long",0.361341298030161,0.82
"DispersalDist_short",0.555869219385063,0.8
"FlowerSex_bisexual",3.02287766827925,0
"FlowerSex_unisexual",2.74823110496861,0
"OvaryPosition_inferior",0.747915468912191,0.53
"OvaryPosition_intermediate",4.15607724956188,0.06
"OvaryPosition_superior",0.544567563418403,0.67
"FloralReward_nectar",4.62315279013766,0
"FloralReward_none",16.9201715793594,0
"FloralReward_other",1.98757692309616,0.32
"FloralReward_pollen",0.568381896278172,0.42
"FlowerSymmetry_actinomorphic",6.74351269530487,0
"FlowerSymmetry_other",2.10495238685424,0.37
"FlowerSymmetry_zygomorphic",7.12157235476221,0
"Showiness_bright",2.01664108850802,0.37
"Showiness_dull",2.49938171016368,0
